lat,long,city
37.352601,-121.905733,San Jose
37.389218,-122.081896,Mountain View
37.788446,-122.408499,San Francisco
37.7913,-122.399051,San Francisco
37.333955,-121.877349,San Jose
37.79728,-122.398436,San Francisco
37.331415,-121.8932,San Jose
37.788975,-122.403452,San Francisco
37.795425,-122.404767,San Francisco
37.484219,-122.227424,Redwood City
37.782259,-122.392738,San Francisco
37.780526,-122.39028799999998,San Francisco
37.48537,-122.203288,Redwood City
37.390277000000005,-122.066553,Mountain View
37.774814,-122.418954,San Francisco
37.385956,-122.083678,Mountain View
37.337391,-121.886995,San Jose
37.783871000000005,-122.408433,San Francisco
37.798541,-122.40086200000002,San Francisco
37.486078000000006,-122.232089,Redwood City
37.336721,-121.894074,San Jose
37.786978000000005,-122.398108,San Francisco
37.786305,-122.404966,San Francisco
37.332692,-121.900084,San Jose
37.795001,-122.39997,San Francisco
37.77865,-122.418235,San Francisco
37.776619,-122.417385,San Francisco
37.487616,-122.229951,Redwood City
37.406940000000006,-122.106758,Mountain View
37.784878000000006,-122.401014,San Francisco
37.792251,-122.39708600000002,San Francisco
37.339301,-121.88993700000002,San Jose
37.448598,-122.159504,Palo Alto
37.329732,-121.901782,San Jose
37.776617,-122.39526,San Francisco
37.394358,-122.07671299999998,Mountain View
37.4256839,-122.13777749999998,Palo Alto
37.429082,-122.142805,Palo Alto
37.342725,-121.895617,San Jose
37.781039,-122.411748,San Francisco
37.443988,-122.164759,Palo Alto
37.781332,-122.418603,San Francisco
37.491269,-122.236234,Redwood City
37.348742,-121.894715,San Jose
37.794139,-122.394434,San Francisco
37.333988,-121.894902,San Jose
37.781752,-122.405127,San Francisco
37.799953,-122.398525,San Francisco
37.330165,-121.885831,San Jose
37.785299,-122.39623600000002,San Francisco
37.400241,-122.099076,Mountain View
37.332808,-121.883891,San Jose
37.771058,-122.402717,San Francisco
37.333798,-121.886943,San Jose
37.487682,-122.223492,Redwood City
37.80477,-122.403234,San Francisco
37.791464000000005,-122.391034,San Francisco
37.7766,-122.39547,San Francisco
37.789625,-122.400811,San Francisco
37.795392,-122.394203,San Francisco
37.798522,-122.407245,San Francisco
37.794231,-122.402923,San Francisco
37.787152,-122.388013,San Francisco
37.789756,-122.394643,San Francisco
37.335885,-121.88566000000002,San Jose
37.330698,-121.888979,San Jose
37.790302,-122.390637,San Francisco
37.481758,-122.226904,Redwood City
37.444521,-122.163093,Palo Alto
37.400443,-122.108338,Mountain View
