lat,long,city
37.329732,-121.90178200000001,San Jose
37.330698,-121.888979,San Jose
37.333988,-121.894902,San Jose
37.331415,-121.8932,San Jose
37.336721000000004,-121.894074,San Jose
37.333798,-121.88694299999999,San Jose
37.330165,-121.88583100000001,San Jose
37.348742,-121.89471499999999,San Jose
37.337391,-121.886995,San Jose
37.335885,-121.88566000000002,San Jose
37.332808,-121.88389099999999,San Jose
37.339301,-121.88993700000002,San Jose
37.332692,-121.900084,San Jose
37.333954999999996,-121.877349,San Jose
37.481758,-122.226904,Redwood City
37.486078000000006,-122.23208899999999,Redwood City
37.487615999999996,-122.229951,Redwood City
37.484219,-122.227424,Redwood City
37.48537,-122.20328799999999,Redwood City
37.487682,-122.223492,Redwood City
37.389218,-122.081896,Mountain View
37.394358000000004,-122.07671299999998,Mountain View
37.406940000000006,-122.10675800000001,Mountain View
37.390277000000005,-122.066553,Mountain View
37.400443,-122.10833799999999,Mountain View
37.385956,-122.083678,Mountain View
37.400240999999994,-122.099076,Mountain View
37.443988,-122.164759,Palo Alto
37.444521,-122.16309299999999,Palo Alto
37.429082,-122.14280500000001,Palo Alto
37.448598,-122.159504,Palo Alto
37.425683899999996,-122.13777749999998,Palo Alto
37.783871000000005,-122.408433,San Francisco
37.795001,-122.39997,San Francisco
37.79728,-122.398436,San Francisco
37.794230999999996,-122.402923,San Francisco
37.795425,-122.40476699999999,San Francisco
37.788975,-122.403452,San Francisco
37.799953,-122.398525,San Francisco
37.790302000000004,-122.39063700000001,San Francisco
37.795392,-122.394203,San Francisco
37.791464000000005,-122.391034,San Francisco
37.787152,-122.38801299999999,San Francisco
37.789756,-122.39464299999999,San Francisco
37.792251,-122.39708600000002,San Francisco
37.781752000000004,-122.40512700000001,San Francisco
37.77865,-122.41823500000001,San Francisco
37.781332,-122.418603,San Francisco
37.80477,-122.40323400000001,San Francisco
37.780526,-122.39028799999998,San Francisco
37.785299,-122.39623600000002,San Francisco
37.786978000000005,-122.39810800000001,San Francisco
37.782259,-122.392738,San Francisco
37.771058000000004,-122.402717,San Francisco
37.774814,-122.418954,San Francisco
37.776619000000004,-122.41738500000001,San Francisco
37.784878000000006,-122.40101399999999,San Francisco
37.7766,-122.39546999999999,San Francisco
37.776617,-122.39526000000001,San Francisco
37.788446,-122.408499,San Francisco
37.781039,-122.411748,San Francisco
37.798522,-122.40724499999999,San Francisco
37.794139,-122.394434,San Francisco
37.7913,-122.399051,San Francisco
37.786305,-122.40496599999999,San Francisco
37.789625,-122.400811,San Francisco
37.352601,-121.90573300000001,San Jose
37.798541,-122.40086200000002,San Francisco
37.491269,-122.23623400000001,Redwood City
37.342725,-121.89561699999999,San Jose
