Season,Player,Country_name
2007.0,Maurice Edu Category:Articles with hCards,name_1
1998.0,Ben Olsen Category:Articles with hCards,name_2
2009.0,Omar Gonzalez Category:Articles with hCards,name_3
2008.0,Sean Franklin Category:Articles with hCards,name_4
1999.0,Jay Heaps Category:Articles with hCards,name_5
2010.0,Andy Najar Category:Articles with hCards,name_6
2002.0,Kyle Martino Category:Articles with hCards,name_8
2005.0,Michael Parkhurst Category:Articles with hCards,name_9
2011.0,C. J. Sapong Category:Articles with hCards,name_10
2001.0,Rodrigo Faria Category:Articles with hCards,name_13
1996.0,Steve Ralston Category:Articles with hCards,name_18
2006.0,Jonathan Bornstein Category:Articles with hCards,name_37
1997.0,Mike Duhaney Category:Articles with hCards,name_87
2000.0,Carlos Bocanegra Category:Articles with hCards,name_4
2004.0,Clint Dempsey Category:Articles with hCards,name_8
2003.0,Damani Ralph Category:Articles with hCards,name_18
