fault_description,fault_status
failed parts,Waiting
system error,Return
failed parts,Return
failed parts,Reported
system error,Reported
system error,Fixed
system error,Fixed
system error,Fixed
failed parts,Reported
failed parts,Waiting
failed parts,Reported
system error,Fixed
failed parts,Reported
failed parts,Waiting
failed parts,Fixed
system error,Waiting
system error,Return
system error,Waiting
system error,Reported
system error,Reported
system error,Waiting
system error,Fixed
failed parts,Waiting
failed parts,Return
failed parts,Reported
